序号,id,原始变种文本,还原答案,CoreHit命中,variant_mapping,语音映射片段含字母,语义片段映射,完整上下文映射,macro_category,category,reasoning,语义片段映射含英文字母,字母片段一声调映射,语义片段映射（字母归一化）
63,biz_0136#1,慢慢将*掏出来摸到右的xue隔着内裤顶他,慢慢将*掏出来摸到右的穴隔着内裤顶他,是,xue -> 穴,是,右的xue -> 右的穴,慢慢将*掏出来摸到右的xue隔着内裤顶他 -> 慢慢将*掏出来摸到右的穴隔着内裤顶他,拟音,语音符号替代,“xue”是“穴”的拼音，属于使用拼音符号替代标准汉字，发音相同，故为拟音大类下的语音符号替代。,,,右的xue -> 右的穴
64,biz_0146#1,每一次停车发车都会让跳dan剐蹭到右的g点,每一次停车发车都会让跳蛋剐蹭到右的G点,是,dan -> 蛋；g -> G,是,跳dan -> 跳蛋；g点 -> G点；g点 -> 高潮点,每一次停车发车都会让跳dan剐蹭到右的g点 -> 每一次停车发车都会让跳蛋剐蹭到右的G点,拟音,语音符号替代,使用拼音“dan”和字母“g”分别替代汉字“蛋”和“G”，均属于语音符号替代，发音相同，归类为拟音,,,跳dan -> 跳蛋；g点 -> G点；g点 -> 高潮点
65,biz_0139#1,误打误撞和v成为类似泡友的关系,误打误撞和v成为类似炮友的关系,是,泡 -> 炮,否,泡友 -> 炮友,误打误撞和v成为类似泡友的关系 -> 误打误撞和v成为类似炮友的关系,拟音,歧义同音词,“泡”与“炮”同音，用“泡友”伪装“炮友”，字面可理解为泡茶的朋友，但实际指性伴侣，属于同音歧义替换。,否,,泡友 -> 炮友
66,biz_0134#1,学生学校减zi方法，正常吃饭，不用运动，亲自试过，有需要的嘛,学生学校减肥方法，正常吃饭，不用运动，亲自试过，有需要的嘛；学生学校减脂方法，正常吃饭，不用运动，亲自试过，有需要的嘛,否,zi -> 肥；zi -> 脂,是,减zi -> 减脂,学生学校减zi方法，正常吃饭，不用运动，亲自试过，有需要的嘛 -> 学生学校减肥方法，正常吃饭，不用运动，亲自试过，有需要的嘛；学生学校减脂方法，正常吃饭，不用运动，亲自试过，有需要的嘛,拟音,跨语言语音编码（含方言，可称非普通话音近）,“zi”模拟方言中平舌音“脂”的读音，同时因减肥语境可引申为“肥”，属于借助方言发音完成的多义编码。,是，dan不处理,,减zi -> 减脂
67,biz_0176#1,Po的《sao心荡漾》巨好看,Po的《骚心荡漾》巨好看,是,sao -> 骚,是,sao心荡漾 -> 骚心荡漾,Po的《sao心荡漾》巨好看 -> Po的《骚心荡漾》巨好看,拟音,语音符号替代,“sao”是汉字“骚”的拼音形式，利用拼音发音替代标准汉字，属于语音符号替代。,,,sao心荡漾 -> 骚心荡漾
68,biz_0189#1,被600元欺负得凸起来一块xiao腹也在顶nong自己的小小简茸,被600元欺负得凸起来一块小腹也在顶弄自己的小小简茸,是,xiao -> 小；nong -> 弄,是,xiao腹 -> 小腹；顶nong -> 顶弄,被600元欺负得凸起来一块xiao腹也在顶nong自己的小小简茸 -> 被600元欺负得凸起来一块小腹也在顶弄自己的小小简茸,拟音,语音符号替代,使用拼音“xiao”和“nong”代替汉字“小”和“弄”，根据发音替代标准汉字，属于语音符号替代。,,,xiao腹 -> 小腹；顶nong -> 顶弄
69,biz_0196#1,右如果直接n在压缩毛巾上，但是还没n完压缩毛巾就已经吸满了,右如果直接尿在压缩毛巾上，但是还没尿完压缩毛巾就已经吸满了,是,n -> 尿,是,n在 -> 尿在；n完 -> 尿完,右如果直接n在压缩毛巾上，但是还没n完压缩毛巾就已经吸满了 -> 右如果直接尿在压缩毛巾上，但是还没尿完压缩毛巾就已经吸满了,其他,缩写,n是“尿”的拼音首字母缩写，发音无关，属于其他大类中的缩写。,是,n -> ne；n -> ne,ne在 -> 尿在；ne完 -> 尿完
70,biz_0169#1,我还是偏爱萌熊，有脉冲pao 机也有吸吮，两种功能,我还是偏爱萌熊，有脉冲炮机也有吸吮，两种功能,是,pao  -> 炮,是,pao 机 -> 炮机,我还是偏爱萌熊，有脉冲pao 机也有吸吮，两种功能 -> 我还是偏爱萌熊，有脉冲炮机也有吸吮，两种功能,拟音,语音符号替代,使用拼音“pao”代替汉字“炮”，属于语音符号替代。,,,pao 机 -> 炮机
71,biz_0204#1,@别TM天天破防 你看看吧现在的广告已经进化到,@别他妈天天破防 你看看吧现在的广告已经进化到,是,TM -> 他妈,是,别TM -> 别他妈,@别TM天天破防 你看看吧现在的广告已经进化到 -> @别他妈天天破防 你看看吧现在的广告已经进化到,拟音,语音符号替代,TM是拼音首字母缩写，根据发音代替汉字'他妈'，属于语音符号替代。,,,别TM -> 别他妈
72,biz_0199#1,此男裤子布料貌似挺薄的。bo起的时候应该很明显额。,此男裤子布料貌似挺薄的。勃起的时候应该很明显额。,是,bo -> 勃,是,bo起 -> 勃起,此男裤子布料貌似挺薄的。bo起的时候应该很明显额。 -> 此男裤子布料貌似挺薄的。勃起的时候应该很明显额。,拟音,语音符号替代,使用拼音字母‘bo’代替汉字‘勃’，根据发音相同进行编码，属于语音符号替代。,是,,bo起 -> 勃起
73,biz_0215#1,妹出门前偷偷sai了玩具，哥不知道,妹出门前偷偷塞了玩具，哥不知道,是,sai -> 塞,是,偷偷sai了 -> 偷偷塞了,妹出门前偷偷sai了玩具，哥不知道 -> 妹出门前偷偷塞了玩具，哥不知道,拟音,语音符号替代,使用拼音“sai”代替汉字“塞”，属于语音符号替代。,,,偷偷sai了 -> 偷偷塞了
74,biz_0218#1,好爽，终于开始讨好女性的x需求了,好爽，终于开始讨好女性的性需求了,是,x -> 性,是,x需求 -> 性需求,好爽，终于开始讨好女性的x需求了 -> 好爽，终于开始讨好女性的性需求了,其他,缩写,变体'x'是字母，发音与'性'无关，依据拼音首字母缩写替代，属于其他大类中的缩写子类。,是,x -> xi,xi需求 -> 性需求
75,biz_0205#1,顶一下neinei还会上下晃，哥会一边狠狠地顶,顶一下奶子还会上下晃，哥会一边狠狠地顶,是,neinei -> 奶子,是,neinei -> 奶奶,顶一下neinei还会上下晃，哥会一边狠狠地顶 -> 顶一下奶子还会上下晃，哥会一边狠狠地顶,拟音,语音符号替代,使用拼音neinei代替汉字“奶子”，属于语音符号替代。,,,neinei -> 奶奶
76,biz_0212#1,开始玩她早就fq的小雪，最后喘息越来越急,开始玩她早就发情的小穴，最后喘息越来越急,否,fq -> 发情；雪 -> 穴,是,fq的小雪 -> 发情的小穴,开始玩她早就fq的小雪，最后喘息越来越急 -> 开始玩她早就发情的小穴，最后喘息越来越急,其他,缩写,变种文本中'fq'使用拼音首字母缩写代替'发情'，发音无关，属于其他大类中的缩写；同时'雪'谐音'穴'为拟音，但整体以缩写为核心变体，故归为缩写。,是,fq -> fo qi,fo qi的小雪 -> 发情的小穴
77,biz_0216#1,wc国宴，出了把我屁股踢烂也没关系,卧槽国宴，出了把我屁股踢烂也没关系,是,wc -> 卧槽,是,wc -> 卧槽,wc国宴，出了把我屁股踢烂也没关系 -> 卧槽国宴，出了把我屁股踢烂也没关系,拟音,语音符号替代,变体'wc'是拼音首字母，根据发音代替标准汉字'卧槽'，属于语音符号替代。,是,wc -> wu ci,wu ci -> 卧槽
78,biz_0197#1,然后就可以一边被一边lu，毕竟双就是快乐double,然后就可以一边被一边撸，毕竟双就是快乐double,是,lu -> 撸,是,一边lu -> 一边撸,然后就可以一边被一边lu，毕竟双就是快乐double -> 然后就可以一边被一边撸，毕竟双就是快乐double,拟音,语音符号替代,用拼音'lu'代替汉字'撸'，发音相同，属于拟音中的语音符号替代。,,,一边lu -> 一边撸
79,biz_0217#1,谁说触手只能h的:家妻说要吃章鱼烧,谁说触手只能色情的:家妻说要吃章鱼烧,否,h -> 色情,是,只能h的 -> 只能色情的,谁说触手只能h的:家妻说要吃章鱼烧 -> 谁说触手只能色情的:家妻说要吃章鱼烧,其他,缩写,h是字母符号，并非根据发音替代“色情”，而是借用日语“エッチ”的缩写形式，发音无关，属于缩写。,是,h -> he,只能he的 -> 只能色情的
80,biz_0011#1,109的乃子还要涨！,109的奶子还要涨！,是,乃 -> 奶,否,乃子 -> 奶子,109的乃子还要涨！ -> 109的奶子还要涨！,拟音,非词汇同音词,“乃”与“奶”同音，替换后“乃子”并非有效词汇，需通过语音解码为“奶子”，属非词汇同音词。,否,,乃子 -> 奶子
81,biz_0067#1,老师礼拿剪视频！会标注的！,老师礼貌拿走剪视频！会标注的！,否,礼拿 -> 礼貌拿走,否,礼拿 -> 礼貌拿走,老师礼拿剪视频！会标注的！ -> 老师礼貌拿走剪视频！会标注的！,其他,缩写,该变体通过省略“貌”和“走”将“礼貌拿走”简写为“礼拿”，未使用拟音，发音并不相近，属于其他大类中的缩写。,否,,礼拿 -> 礼貌拿走
82,biz_0006#1,呼吸洒在的🌨️口时还能感觉到她的双腿紧绷起来,呼吸洒在的穴口时还能感觉到她的双腿紧绷起来,是,🌨️ -> 穴,否,🌨️口 -> 穴口,呼吸洒在的🌨️口时还能感觉到她的双腿紧绷起来 -> 呼吸洒在的穴口时还能感觉到她的双腿紧绷起来,其他,表情符号替换,使用表情符号🌨️代替文字‘穴’，传达与字面语义（雪）不同的编码含义，属于表情符号替换。,否,,🌨️口 -> 穴口
83,biz_0157#1,非常美味 巨仍的话doi的时候会一晃一晃的,非常美味 巨乳的话做爱的时候会一晃一晃的,否,仍 -> 乳；doi -> 做爱,是,巨仍 -> 巨乳；doi -> 做爱,非常美味 巨仍的话doi的时候会一晃一晃的 -> 非常美味 巨乳的话做爱的时候会一晃一晃的,其他,缩写,变体“doi”为英文缩写，发音与“做爱”无关，属于缩写；“仍”为“乳”的形近替代，发音亦不近，整体以缩写为主，归为其他-缩写。,是,doi -> de o yi,巨仍 -> 巨乳；de o yi -> 做爱
84,biz_0036#1,好大的扔子……闷死算喜丧,好大的奶子……闷死算喜丧,是,扔子 -> 奶子,否,扔子 -> 奶子,好大的扔子……闷死算喜丧 -> 好大的奶子……闷死算喜丧,字形,跨语言语音编码（含方言，可称非普通话音近）,“扔”与“奶”在某些方言中发音相近，通过方言语音近似编码。,否,,扔子 -> 奶子
85,biz_0220#1,V穿的是皮鞋，鞋尖是石更的,V穿的是皮鞋，鞋尖是硬的,是,石更 -> 硬,否,石更的 -> 硬的,V穿的是皮鞋，鞋尖是石更的 -> V穿的是皮鞋，鞋尖是硬的,其他,缩写,将“硬”拆分为“石”和“更”属于字形拆分，与发音无关，属于其他大类；使用两个汉字部件代替原字，可视为一种特殊的缩写形式。,否,,石更的 -> 硬的
86,biz_0044#1,完了后还被左位抱起来问“宝贝怎么没忍住🐦了”,完了后还被左位抱起来问“宝贝怎么没忍住尿了”,是,🐦 -> 尿,否,🐦了 -> 尿了,完了后还被左位抱起来问“宝贝怎么没忍住🐦了” -> 完了后还被左位抱起来问“宝贝怎么没忍住尿了”,其他,表情符号替换,变体使用表情符号🐦代替文本“尿”，属于表情符号替换，传达编码含义。,否,,🐦了 -> 尿了
87,biz_0021#1,然后哥被妹这样帮着帮着就🍵进去了啊,然后哥被妹这样帮着帮着就插进去了啊,是,🍵 -> 插,否,🍵进去了 -> 插进去了,然后哥被妹这样帮着帮着就🍵进去了啊 -> 然后哥被妹这样帮着帮着就插进去了啊,其他,表情符号替换,使用表情符号🍵代替'插'，利用'茶'与'插'的谐音，属于表情符号替换。,否,,🍵进去了 -> 插进去了
88,biz_0198#1,随着歌曲高潮变化升降频率的wj，右夹着去上台唱歌时,随着歌曲高潮变化升降频率的玩具，右夹着去上台唱歌时,否,wj -> 玩具,是,wj -> 玩具,随着歌曲高潮变化升降频率的wj，右夹着去上台唱歌时 -> 随着歌曲高潮变化升降频率的玩具，右夹着去上台唱歌时,其他,缩写,wj是“玩具”的拼音首字母缩写，发音上无关，属于缩写类。,是,wj -> wu ji,wu ji -> 玩具
89,biz_0048#1,体型差必吃榜应该有抱🌿的一席之地吧,体型差必吃榜应该有抱着操的一席之地吧,否,🌿 -> 着操,否,抱🌿 -> 抱着操,体型差必吃榜应该有抱🌿的一席之地吧 -> 体型差必吃榜应该有抱着操的一席之地吧,其他,表情符号替换,使用🌿（叶子）表情符号替代“着操”，属于表情符号替换。,否,,抱🌿 -> 抱着操
90,biz_0051#1,哥直接两只手指🍵进去,哥直接两只手指插进去,是,🍵 -> 插,否,🍵进去 -> 插进去,哥直接两只手指🍵进去 -> 哥直接两只手指插进去,其他,表情符号替换,使用表情符号“🍵”代替“插”，属于表情符号替换。,否,,🍵进去 -> 插进去
91,biz_0050#1,感觉到右位身体里还有挑🥚震动,感觉到右位身体里还有跳蛋震动,是,挑🥚 -> 跳蛋,否,挑🥚 -> 跳蛋,感觉到右位身体里还有挑🥚震动 -> 感觉到右位身体里还有跳蛋震动,其他,表情符号替换,使用表情符号🥚代替蛋，同时挑谐音跳，整体编码为跳蛋，属于表情符号与谐音结合的表情符号替换。,否,,挑🥚 -> 跳蛋
92,biz_0049#1,于是在🐍🥛的时候颤抖着叫了夫君,于是在射精的时候颤抖着叫了夫君,是,🐍🥛 -> 射精,否,🐍🥛 -> 射精,于是在🐍🥛的时候颤抖着叫了夫君 -> 于是在射精的时候颤抖着叫了夫君,其他,表情符号替换,使用表情符号🐍和🥛代替“射精”，属于表情符号替换，传达与字面不同的编码含义。,否,,🐍🥛 -> 射精
93,biz_0042#1,在这里…然后都🐍进去的话…老婆就只能是我的了对吧,在这里…然后都射进去的话…老婆就只能是我的了对吧,是,🐍 -> 射,否,🐍进去 -> 射进去,在这里…然后都🐍进去的话…老婆就只能是我的了对吧 -> 在这里…然后都射进去的话…老婆就只能是我的了对吧,其他,表情符号替换,使用表情符号🐍替代同音字“射”，属于表情符号替换。,否,,🐍进去 -> 射进去
94,biz_0045#1,但是狗还是兴奋地一边浑身颤抖用力撞击一边🐍满,但是狗还是兴奋地一边浑身颤抖用力撞击一边射满,是,🐍 -> 射,否,🐍满 -> 射满,但是狗还是兴奋地一边浑身颤抖用力撞击一边🐍满 -> 但是狗还是兴奋地一边浑身颤抖用力撞击一边射满,其他,表情符号替换,使用表情符号🐍替代同音字“射”，字面是蛇，实际含义为射，属于表情符号代替文本内容传达非字面语义。,否,,🐍满 -> 射满
95,biz_0022#1,宝贝借梗代家产 发🫘会标出处,宝贝借梗代家产 发抖音会标出处,是,🫘 -> 抖音,否,发🫘 -> 发抖音,宝贝借梗代家产 发🫘会标出处 -> 宝贝借梗代家产 发抖音会标出处,其他,表情符号替换,使用表情符号🫘代替文本“抖音”，属于表情符号替换。,否,,发🫘 -> 发抖音
96,biz_0010#1,109的仍子啊，给我也吃一口,109的奶子啊，给我也吃一口,是,仍 -> 奶,否,仍子 -> 奶子,109的仍子啊，给我也吃一口 -> 109的奶子啊，给我也吃一口,其他,缩写,变体“仍”与“奶”发音不相关，依靠视觉形近替换，根据标准归入其他类缩写。,否,,仍子 -> 奶子
97,biz_0071#1,质检两个手指就满了，但是为了扩大范围只能再加手指,指检两个手指就满了，但是为了扩大范围只能再加手指,否,质 -> 指,否,质检 -> 指检,质检两个手指就满了，但是为了扩大范围只能再加手指 -> 指检两个手指就满了，但是为了扩大范围只能再加手指,拟音,歧义同音词,“质检”与“指检”发音相近，表面为有效词汇，但字面含义与预期含义不同，属于歧义同音词。,否,,质检 -> 指检
